ID Oddziału;Nazwa Oddziału;Typ Oddziału;Szpital (Nazwa);Miasto;ID Szpitala;Liczba Lekarzy na Oddziale;Data Utworzenia
dept_10_1;Oddział Chirurgii Ogólnej;Zabiegowy;1 WOJSKOWY SZPITAL KLINICZNY Z POLIKLINIKĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE;Lublin;hosp_10;0;2026-04-26T06:29:54.461Z
dept_10_2;Oddział Neurochirurgiczny;Zabiegowy;1 WOJSKOWY SZPITAL KLINICZNY Z POLIKLINIKĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE;Lublin;hosp_10;0;2026-04-26T06:29:54.461Z
dept_10_3;Oddział Urologiczny;Zabiegowy;1 WOJSKOWY SZPITAL KLINICZNY Z POLIKLINIKĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE;Lublin;hosp_10;0;2026-04-26T06:29:54.461Z
dept_10_4;Blok operacyjny;Zabiegowy;1 WOJSKOWY SZPITAL KLINICZNY Z POLIKLINIKĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE;Lublin;hosp_10;0;2026-04-26T06:29:54.461Z
dept_10_5;Sterylizatornia;Zabiegowy;1 WOJSKOWY SZPITAL KLINICZNY Z POLIKLINIKĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE;Lublin;hosp_10;0;2026-04-26T06:29:54.461Z
dept_11_1;I Oddział Chirurgii Onkologicznej;Zabiegowy;CENTRUM ONKOLOGII ZIEMI LUBELSKIEJ IM. ŚW. JANA Z DUKLI;Lublin;hosp_11;0;2026-04-25T06:29:54.461Z
dept_11_2;II Oddział Chirurgii Onkologicznej Przewodu Pokarmowego;Zabiegowy;CENTRUM ONKOLOGII ZIEMI LUBELSKIEJ IM. ŚW. JANA Z DUKLI;Lublin;hosp_11;0;2026-04-25T06:29:54.461Z
dept_11_3;Oddział Chirurgii Plastycznej;Zabiegowy;CENTRUM ONKOLOGII ZIEMI LUBELSKIEJ IM. ŚW. JANA Z DUKLI;Lublin;hosp_11;0;2026-04-25T06:29:54.461Z
dept_11_4;Oddział Urologiczny;Zabiegowy;CENTRUM ONKOLOGII ZIEMI LUBELSKIEJ IM. ŚW. JANA Z DUKLI;Lublin;hosp_11;0;2026-04-25T06:29:54.461Z
dept_11_5;Blok operacyjny;Zabiegowy;CENTRUM ONKOLOGII ZIEMI LUBELSKIEJ IM. ŚW. JANA Z DUKLI;Lublin;hosp_11;0;2026-04-25T06:29:54.461Z
dept_11_6;Sterylizatornia;Zabiegowy;CENTRUM ONKOLOGII ZIEMI LUBELSKIEJ IM. ŚW. JANA Z DUKLI;Lublin;hosp_11;0;2026-04-25T06:29:54.461Z
