ID Placówki;Nazwa Szpitala / Placówki;Miasto;Adres;Województwo;Segment;Status Relacji;Telefon;Email;Strona WWW;Szerokość GPS (Lat);Długość GPS (Lng);Liczba Oddziałów;Liczba Kontaktów (Lekarzy);Notatki;Data Utworzenia;Data Aktualizacji
hosp_1;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ NR 1 W BEŁŻYCACH;Bełżyce;ul. Lubelska 90, 24-200 Bełżyce;Lubelskie;A;active;+48 81 516 75 53;office@spzoz-beyce.pl;www.spzoz-beyce.pl;51.1736;22.2778;5;5;;2026-07-20T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_10;1 WOJSKOWY SZPITAL KLINICZNY Z POLIKLINIKĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE;Lublin;Al. Racławickie 23, 20-904 Lublin;Lubelskie;A;prospect;+48 81 607 32 99;office@spzoz-lublin.pl;www.spzoz-lublin.pl;51.2464;22.532;5;0;;2026-07-11T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_11;CENTRUM ONKOLOGII ZIEMI LUBELSKIEJ IM. ŚW. JANA Z DUKLI;Lublin;ul. Dra Kazimierza Jaczewskiego 7, 20-090 Lublin;Lubelskie;A;active;+48 81 926 93 29;office@spzoz-lublin.pl;www.spzoz-lublin.pl;51.2389;22.548;6;0;;2026-07-10T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_12;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W LUBLINIE;Lublin;ul. Grenadierów 3, 20-331 Lublin;Lubelskie;C;prospect;+48 81 255 10 31;office@spzoz-lublin.pl;www.spzoz-lublin.pl;51.2372;22.5623;3;0;;2026-07-09T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_13;UNIWERSYTECKI SZPITAL DZIECIĘCY W LUBLINIE;Lublin;ul. Prof. Antoniego Gębali 6, 20-093 Lublin;Lubelskie;C;inactive;+48 81 383 94 19;office@spzoz-lublin.pl;www.spzoz-lublin.pl;51.2395;22.551;3;0;;2026-07-08T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_14;UNIWERSYTECKI SZPITAL KLINICZNY NR 1 W LUBLINIE;Lublin;Aleja Solidarności 8, 20-841 Lublin;Lubelskie;A;prospect;+48 81 656 91 27;office@spzoz-lublin.pl;www.spzoz-lublin.pl;51.2289;22.568;7;0;;2026-07-07T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_15;UNIWERSYTECKI SZPITAL KLINICZNY NR 4 W LUBLINIE;Lublin;ul. Dra Kazimierza Jaczewskiego 8, 20-090 Lublin;Lubelskie;A;key_account;+48 81 493 25 55;office@spzoz-lublin.pl;www.spzoz-lublin.pl;51.2392;22.5495;10;0;;2026-07-06T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_16;WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. STEFANA KARDYNAŁA WYSZYŃSKIEGO SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE;Lublin;Al. Kraśnicka 100 / ul. Lubartowska 81, Lublin;Lubelskie;A;active;+48 81 594 39 69;office@spzoz-lublin.pl;www.spzoz-lublin.pl;51.227;22.52;8;0;;2026-07-05T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_17;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŁĘCZNEJ;Łęczna;ul. Krasnystawska 52, 21-010 Łęczna;Lubelskie;B;prospect;+48 81 757 89 40;office@spzoz-czna.pl;www.spzoz-czna.pl;51.3019;22.8808;4;0;;2026-07-04T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_18;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŁUKOWIE;Łuków;ul. Dr Andrzeja Rogalińskiego 3, 21-400 Łuków;Lubelskie;C;prospect;+48 81 862 86 70;office@spzoz-ukw.pl;www.spzoz-ukw.pl;51.9247;22.3789;3;0;;2026-07-03T08:11:16.634Z;2026-08-16T08:11:16.634Z
